0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	2	1	1	1	2	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	6	1	1	2	4	19	1	4	1	2	0	0	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	6	5	6	4	1	4	0	1	0	0	0	0	0	1	1	0	2	4	1	0	0	0	0	3	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	4	8	4	2	0	0	1	0	1	0	1	1	2	0	0	2	2	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	2	0	0	1	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	1	1	2	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	2	0	1	2	3	4	3	0	2	0	1	1	0	0	1	3	0	4	0	4	2	2	1	1	0	1	3	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	2	3	0	1	0	5	1	3	0	4	0	0	2	0	0	0	0	2	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	2	1	2	3	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	1	0	0	13	6	0	0	2	0	1	0	0	0	0	2	0	1	0	0	4	3	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	2	0	0	3	0	1	3	1	1	1	1	0	0	0	4	0	2	1	0	1	1	1	0	0	1	1	1	5	4	2	1	2	1	3	2	0	0	1	0	0	0	1	0	2	0	1	1	1	1	5	0	0	0	0	0	0	4	1	1	0	1	0	1	0	0	1	3	1	0	1	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0	0	1	0	0	1	2	0	0	1	0	1	2	0	0	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	1	1	0	0	3	3	0	3	0	0	2	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	9	0	0	0	0	0	3	0	10	0	0	0	0	2	0	1	0	0	0	1	0	3	2	0	0	1	2	2	2	1	0	1	0	4	2	0	2	0	6	1	4	0	4	0	3	2	3	0	0	1	5	5	1	1	1	0	1	4	0	3	0	0	0	0	0	0	1	6	1	1	1	0	0	1	3	2	0	2	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	3	2	2	1	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	1	0	3	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	4	1	0	0	7	0	1	0	2	3	2	2	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	5	8	1	1	2	1	1	1	0	4	0	1	0	2	1	1	0	2	2	0	0	0	0	0	1	0	0	1	0	1	2	1	0	2	4	0	0	2	1	1	0	0	1	2	4	3	2	0	3	0	1	0	0	0	1	1	0	0	0	0	3	1	0	4	1	0	1	0	0	1	0	3	0	2	3	3	0	1	3	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	7	0	11	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	4	4	4	1	0	2	3	0	0	0	4	5	1	2	1	1	2	0	1	2	0	1	1	3	0	5	0	3	0	5	0	0	0	1	0	0	0	2	1	1	0	1	0	4	0	0	1	0	0	0	1	1	2	2	2	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	3	2	1	7	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	2	2	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	2	9	2	2	1	3	0	0	0	0	0	2	0	0	0	0	0	2	1	2	8	1	0	0	0	0	2	1	1	4	1	1	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	3	1	1	2	0	1	0	0	1	0	1	7	2	6	1	0	0	0	0	0	1	0	0	1	0	2	0	1	1	0	1	0	0	0	0	1	1	2	0	1	1	1	1	2	0	6	1	2	0	0	1	1	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	3	5	3	0	2	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	10	0	0	0	1	0	8	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	7	2	0	3	0	0	1	1	0	0	1	2	2	1	0	1	4	2	1	0	0	4	4	3	6	1	6	9	3	0	0	9	1	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	5	4	5	0	2	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	2	15	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	2	1	2	0	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	1	0	1	0	2	0	0	1	4	4	1	1	4	0	0	1	2	1	1	3	2	1	2	0	1	2	1	0	1	0	2	0	0	0	1	2	2	6	3	0	3	2	1	1	1	0	0	1	2	1	4	0	2	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	8	1	0	1	0	0	0	0	0	0	5	0	0	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	2	2	1	2	2	0	1	0	0	5	2	0	0	2	1	1	1	1	4	3	14	3	13	11	0	3	0	0	0	8	1	12	0	4	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	1	0	1	0	0	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	2	0	0	3	4	3	0	6	0	2	1	1	1	2	6	1	0	0	1	0	2	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	2	0	0	0	3	0	4	0	0	3	0	1	0	1	0	1	1	1	3	0	0	0	3	1	0	1	1	0	1	1	14	1	2	1	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	2	1	5	0	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	1	0	2	0	0	3	2	2	4	0	3	0	2	1	2	0	0	0	1	0	0	0	1	2	1	0	0	0	2	0	0	0	0	4	2	3	0	2	0	0	0	0	1	0	1	1	1	0	2	0	2	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	11	0	0	8	0	3	0	0	13	0	4	0	0	0	0	1	0	1	0	1	0	1	0	0	0	2	0	0	1	1	0	0	0	3	0	1	1	2	0	2	1	0	3	3	4	3	3	2	2	15	0	2	1	5	7	4	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	1	1	2	1	2	1	0	2	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	8	4	1	1	1	0	3	3	1	2	1	4	1	2	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	5	12	12	1	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	1	6	1	3	1	0	3	2	0	0	1	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	1	0	0	0	1	0	3	0	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	4	0	4	1	3	2	1	0	0	0	2	0	2	1	2	2	1	2	0	0	1	0	0	1	0	0	3	0	2	1	2	0	1	1	3	0	3	1	2	0	4	0	0	1	0	1	2	4	4	2	1	0	1	0	0	1	0	0	3	1	0	0	0	0	2	0	0	0	4	3	0	0	0	0	1	0	0	0	6	0	0	6	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	6	1	4	5	0	4	1	0	7	0	0	0	0	0	0	0	0	5	0	0	0	4	3	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	2	1	0	1	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	1	1	3	1	11	2	0	1	5	0	1	2	1	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	3	0	0	2	7	4	0	1	0	0	0	1	2	0	3	1	1	0	0	1	0	1	3	0	0	0	0	6	0	1	2	8	8	6	2	1	0	2	1	6	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	5	1	0	0	0	1	0	1	0	1	0	1	0	0	2	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	5	0	6	1	0	1	0	1	0	4	2	2	2	1	0	1	0	2	0	1	1	0	0	0	1	0	1	0	0	2	1	2	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	3	2	0	3	0	0	0	1	0	0	2	0	2	4	0	0	0	9	0	12	0	9	1	0	0	0	0	4	3	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	2	0	1	0	1	0	0	2	0	2	3	1	1	0	0	2	2	1	3	2	9	0	0	1	2	2	4	0	1	2	1	3	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	2	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	1	1	1	0	4	0	2	1	1	0	2	0	2	1	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	2	0	2	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	0	1	0	2	0	1	0	0	0	3	2	2	0	0	1	0	2	0	4	1	2	3	3	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	2	0	1	0	1	2	2	1	1	1	4	5	2	2	0	0	3	0	0	1	1	0	0	0	0	0	1	2	0	3	1	1	1	0	1	4	1	2	1	4	1	2	3	1	1	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	2	0	1	0	0	1	2	1	3	1	1	2	0	2	2	2	4	2	2	1	1	0	0	0	2	2	0	0	0	1	0	1	2	2	2	0	1	2	2	1	3	3	0	5	6	0	1	0	5	0	0	0	5	3	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	2	0	0	1	1	1	0	1	4	2	1	1	4	2	4	0	2	0	1	1	0	5	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	2	1	0	0	0	0	0	1	0	0	1	1	0	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	2	0	2	3	0	1	2	3	3	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	6	3	1	19	3	18	4	3	0	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	5	7	0	0	2	0	2	3	1	1	2	1	0	0	2	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	4	2	2	1	0	1	2	4	7	2	1	0	1	1	1	0	0	0	1	0	0	0	0	1	2	2	2	0	1	0	0	1	1	2	0	3	0	0	0	2	0	0	3	0	3	3	1	0	1	0	2	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	4	2	2	1	0	0	0	1	0	5	1	2	0	0	0	1	1	2	0	7	5	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	3	4	2	9	0	1	0	2	4	0	0	3	4	1	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	2	0	1	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	9	2	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	1	3	0	2	0	0	1	1	0	0	0	4	1	4	2	0	0	13	5	2	2	1	2	1	1	0	0	0	0	2	0	1	0	1	1	2	0	0	13	0	0	0	4	0	1	1	3	2	2	0	0	2	0	2	1	0	0	0	0	0	3	0	0	1	2	2	0	1	1	1	0	1	0	0	0	0	0	2	0	3	5	9	7	5	3	0	0	1	0	1	0	1	0	0	1	0	4	2	1	0	3	1	1	1	0	1	0	2	1	0	1	0	3	0	1	4	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	0	1	0	2	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	4	0	3	2	2	2	0	3	0	4	0	3	1	2	2	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	2	0	4	1	0	5	0	6	0	0	1	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	1	1	1	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	4	0	3	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	1	1	0	3	1	0	1	0	1	1	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	2	5	0	0	0	0	0	3	1	0	0	2	0	0	1	1	3	0	0	2	2	1	0	1	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	7	0	0	0	2	1	6	0	1	2	0	0	2	3	3	1	1	0	0	0	2	1	2	0	1	0	0	0	4	4	0	1	0	0	0	0	1	1	1	2	0	1	0	2	0	0	0	0	1	0	2	0	0	0	4	1	2	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	2	6	3	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	1	0	1	0	2	4	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	2	1	0	2	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	1	1	3	0	3	1	0	4	1	2	0	0	0	2	1	3	4	2	0	1	3	0	3	0	0	5	6	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	3	6	0	3	3	1	2	0	2	0	0	0	14	2	12	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	2	2	0	0	2	1	3	2	1	1	2	4	0	0	1	1	0	0	0	0	0	0	0	4	1	2	0	0	0	1	0	1	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	2	1	0	0	0	0	2	1	0	2	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	4	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	1	0	1	1	0	0	0	9	1	0	0	3	4	0	17	3	0	3	0	3	0	0	4	3	0	7	0	1	2	0	3	6	6	2	0	1	1	0	2	2	0	1	1	0	3	1	0	2	0	1	1	0	0	1	2	1	0	0	0	1	3	0	2	0	1	0	0	1	0	0	0	0	1	1	0	0	0	2	3	2	1	1	1	1	0	1	1	0	2	0	0	0	0	0	0	1	3	5	1	0	2	0	1	1	1	0	1	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	5	0	1	1	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2	1	2	0	0	0	1	0	0	3	4	1	2	0	3	0	3	0	2	2	0	2	2	1	3	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	3	4	1	1	1	0	0	3	1	1	0	1	0	1	3	0	1	2	2	3	4	0	0	0	1	0	0	0	0	0	0	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
